bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
415,-7.7859646E-8,0.0,0.0,-5.31E-5
416,-8.4270866E-8,0.0,0.0,-5.75E-5
417,8.643924E-6,0.166,0.165,0.0059
418,-8.50729E-8,0.0,0.0,-5.8E-5
419,4.0892787E-6,0.169,0.166,0.00279
420,-1.6445897E-7,0.0,0.0,-1.12E-4
421,8.090561E-6,0.165,0.166,0.00552
422,-9.48444E-8,0.0,0.0,-6.47E-5
423,4.9072996E-6,0.172,0.17,0.00335
424,-1.4674097E-7,0.0,0.0,-1.0E-4
425,5.354656E-6,0.166,0.171,0.00365
426,-1.3599181E-7,0.0,0.0,-9.28E-5
427,6.678719E-6,0.18,0.169,0.00456
428,-1.0236317E-7,0.0,0.0,-6.98E-5
429,7.291553E-6,0.162,0.165,0.00497
430,-1.1338825E-7,0.0,0.0,-7.73E-5
431,4.943401E-6,0.17,0.163,0.00337
432,-7.373884E-8,0.0,0.0,-5.03E-5
433,-7.7120646E-8,0.0,0.0,-5.26E-5
434,-8.738751E-8,0.0,0.0,-5.96E-5
435,-1.06006304E-7,0.0,0.0,-7.23E-5
436,-9.2504806E-8,0.0,0.0,-6.31E-5
437,-6.598219E-8,0.0,0.0,-4.5E-5
438,-6.082493E-8,0.0,0.0,-4.15E-5
439,-9.037734E-8,0.0,0.0,-6.16E-5
440,-5.4191972E-8,0.0,0.0,-3.7E-5
441,-9.243794E-8,0.0,0.0,-6.3E-5
442,-5.7354733E-8,0.0,0.0,-3.91E-5
443,-9.208939E-8,0.0,0.0,-6.28E-5
444,-7.618988E-8,0.0,0.0,-5.2E-5
445,-5.478648E-8,0.0,0.0,-3.74E-5
446,-4.2916326E-8,0.0,0.0,-2.93E-5
447,-6.858196E-8,0.0,0.0,-4.68E-5
448,-5.2924946E-8,0.0,0.0,-3.61E-5
449,-5.7948473E-8,0.0,0.0,-3.95E-5
450,-5.150497E-8,0.0,0.0,-3.51E-5
451,-5.301833E-8,0.0,0.0,-3.62E-5
452,-4.97422E-8,0.0,0.0,-3.39E-5
453,-5.9350384E-8,0.0,0.0,-4.05E-5
454,-5.611192E-8,0.0,0.0,-3.83E-5
455,-6.63419E-8,0.0,0.0,-4.52E-5
456,-6.7652344E-8,0.0,0.0,-4.61E-5
457,-4.172385E-8,0.0,0.0,-2.85E-5
